sample	stage
AEC-1-AEC-1-1_FKDL202561884-1a-1	AEC
AEC-1-AEC-1-2_FKDL202561884-1a-2	AEC
AEC-1-AEC-1-3_FKDL202561884-1a-3	AEC
AEC-1-AEC-1-4_FKDL202561884-1a-4	AEC
AEC-1-AEC-1-5_FKDL202561884-1a-5	AEC
AEC-1-AEC-1-6_FKDL202561884-1a-6	AEC
AEC-1-AEC-1-7_FKDL202561884-1a-7	AEC
AEC-1-AEC-1-8_FKDL202561884-1a-8	AEC
AEC-2-AEC-2-1_FKDL202561885-1a-9	AEC
AEC-2-AEC-2-2_FKDL202561885-1a-10	AEC
AEC-2-AEC-2-3_FKDL202561885-1a-11	AEC
AEC-2-AEC-2-4_FKDL202561885-1a-18	AEC
AEC-2-AEC-2-5_FKDL202561885-1a-19	AEC
AEC-2-AEC-2-6_FKDL202561885-1a-20	AEC
AEC-3-AEC-3-2_FKDL202561886-1a-13	AEC
AEC-3-AEC-3-3_FKDL202561886-1a-14	AEC
AEC-3-AEC-3-4_FKDL202561886-1a-15	AEC
AEC-3-AEC-3-5_FKDL202561886-1a-16	AEC
HE-1-HE-1-1_FKDL202561887-1a-1	HEC
HE-1-HE-1-2_FKDL202561887-1a-2	HEC
HE-1-HE-1-3_FKDL202561887-1a-3	HEC
HE-1-HE-1-4_FKDL202561887-1a-4	HEC
HE-1-HE-1-5_FKDL202561887-1a-5	HEC
HE-1-HE-1-6_FKDL202561887-1a-6	HEC
HE-2-HE-2-1_FKDL202561888-1a-7	HEC
HE-2-HE-2-2_FKDL202561888-1a-8	HEC
HE-2-HE-2-3_FKDL202561888-1a-9	HEC
HE-2-HE-2-4_FKDL202561888-1a-10	HEC
HE-2-HE-2-5_FKDL202561888-1a-11	HEC
HE-2-HE-2-6_FKDL202561888-1a-12	HEC
HE-3-HE-3-1_FKDL202561889-1a-13	HEC
HE-3-HE-3-2_FKDL202561889-1a-14	HEC
HE-3-HE-3-3_FKDL202561889-1a-15	HEC
HE-3-HE-3-4_FKDL202561889-1a-16	HEC
HE-3-HE-3-5_FKDL202561889-1a-18	HEC
HE-3-HE-3-6_FKDL202561889-1a-19	HEC
HE-4-HE-4-1_FKDL202561890-1a-20	HEC
HE-4-HE-4-2_FKDL202561890-1a-21	HEC
HE-4-HE-4-3_FKDL202561890-1a-22	HEC
HE-4-HE-4-4_FKDL202561890-1a-23	HEC
HE-4-HE-4-5_FKDL202561890-1a-25	HEC
HE-4-HE-4-6_FKDL202561890-1a-27	HEC
E11.0_T1_2501.BATCH141028_0212.LANE1	T1_pre_HSC
E11.0_T1_2504.BATCH141028_0212.LANE1	T1_pre_HSC
E11.0_T1_2508.BATCH141028_0212.LANE1	T1_pre_HSC
E11.0_T1_2509.BATCH141028_0212.LANE1	T1_pre_HSC
E11.0_T1_2510.BATCH141028_0212.LANE1	T1_pre_HSC
E11.0_T1_2602.BATCH141023_0208.LANE1	T1_pre_HSC
E11.0_T1_2603.BATCH141023_0208.LANE1	T1_pre_HSC
E11.0_T1_2604.BATCH141023_0208.LANE1	T1_pre_HSC
E11.0_T1_2606.BATCH141023_0208.LANE1	T1_pre_HSC
E11.0_T1_2607.BATCH141023_0208.LANE1	T1_pre_HSC
E11.0_T1_2608.BATCH141023_0208.LANE1	T1_pre_HSC
E11.0_T1_2612.BATCH141023_0208.LANE1	T1_pre_HSC
E11.0_T1_2613.BATCH141023_0208.LANE1	T1_pre_HSC
E11.0_T1_2614.BATCH141023_0208.LANE1	T1_pre_HSC
E11.0_T1_2615.BATCH141023_0208.LANE1	T1_pre_HSC
E11.0_T1_2616.BATCH141023_0208.LANE1	T1_pre_HSC
E11.0_T1_3001.BATCH141119_0215.LANE1	T1_pre_HSC
E11.0_T1_3002.BATCH141119_0215.LANE1	T1_pre_HSC
E11.0_T1_3004.BATCH141119_0215.LANE1	T1_pre_HSC
E11.0_T1_3005.BATCH141119_0215.LANE1	T1_pre_HSC
E11.0_T1_3006.BATCH141119_0215.LANE1	T1_pre_HSC
E11.0_T1_3007.BATCH141119_0215.LANE1	T1_pre_HSC
E11.0_T1_3009.BATCH141119_0215.LANE2	T1_pre_HSC
E11.0_T1_3010.BATCH141119_0215.LANE2	T1_pre_HSC
E11.0_T1_3011.BATCH141119_0215.LANE2	T1_pre_HSC
E11.0_T1_3014.BATCH141119_0215.LANE2	T1_pre_HSC
E11.0_T2_3501.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
E11.0_T2_3501.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3502.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
E11.0_T2_3502.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3503.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
E11.0_T2_3503.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3504.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
E11.0_T2_3504.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3505.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
E11.0_T2_3505.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3506.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
E11.0_T2_3506.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3507.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
E11.0_T2_3507.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3508.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
E11.0_T2_3508.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3509.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
E11.0_T2_3509.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3511.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
